,model_name,loss,r^2,mse,mae,true_values,pred_values,train_r^2,train_mse,train_mae,train_true_values,train_pred_values
0,54_N[C@@H]1C[C@@H]2[C@H](C1)C2(F)F_N[C@H]1C[C@@H]2C[C@@H]2C1,0.07601997256278992,0.607,0.076,0.208,"[8.890000343322754, 9.770000457763672]","[8.501059532165527, 9.797658920288086]",0.984,0.097,0.253,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.346854209899902, 4.346854209899902, 3.393486499786377, 6.282497406005859, 6.517539978027344, 6.525769233703613, 7.635442733764648, 7.446802139282227, 7.934805870056152, 7.765803337097168, 8.757781982421875, 7.855381965637207, 8.44384765625, 9.381545066833496, 9.749101638793945, 9.721304893493652, 9.570157051086426, 9.95807933807373, 10.235554695129395, 10.306624412536621, 10.813424110412598, 10.792046546936035, 3.6232805252075195, 3.2608635425567627, 4.292850494384766, 4.335097312927246, 4.399298191070557, 4.155675888061523, 4.595036506652832]"
1,55_N[C@H]1C[C@@H]2[C@H](C1)C2(F)F_N[C@@H]1C[C@@H]2C[C@@H]2C1,0.09157681465148926,0.481,0.092,0.237,"[8.949999809265137, 9.789999961853027]","[8.524721145629883, 9.742128372192383]",0.983,0.102,0.261,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.349104881286621, 4.349104881286621, 3.3865084648132324, 6.306039333343506, 6.546660900115967, 6.5584611892700195, 7.653981685638428, 7.437013149261475, 7.943718433380127, 7.805462837219238, 8.77979850769043, 7.8557868003845215, 8.413339614868164, 9.354660987854004, 9.769803047180176, 9.746805191040039, 9.596758842468262, 9.946935653686523, 10.249677658081055, 10.26714038848877, 10.812397956848145, 10.785696983337402, 3.5981791019439697, 3.2978241443634033, 4.2881364822387695, 4.348151206970215, 4.3860673904418945, 4.131833553314209, 4.602797031402588]"
2,56_NC1CCC(F)(F)CC1_NC1CCCCC1,0.11269962787628174,0.647,0.113,0.334,"[9.449999809265137, 10.579999923706055]","[9.084568977355957, 10.27691650390625]",0.987,0.078,0.225,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.334716796875, 4.334716796875, 3.41225266456604, 6.309937477111816, 6.248490333557129, 6.240120887756348, 7.414705753326416, 7.492074966430664, 7.841175556182861, 7.798417568206787, 8.761617660522461, 8.054018020629883, 8.541010856628418, 9.378576278686523, 9.759844779968262, 9.728979110717773, 9.536665916442871, 9.957555770874023, 10.2501859664917, 10.299467086791992, 10.86390495300293, 10.844651222229004, 3.654461622238159, 3.2627992630004883, 4.292488098144531, 4.319727897644043, 4.4015936851501465, 4.186446666717529, 4.657247543334961]"
3,57_NC1CCCCC1_NC1CCCCC1,0.08289572596549988,,0.083,0.288,[10.579999923706055],[10.292083740234375],0.983,0.107,0.262,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9762346744537354, 4.3369951248168945, 4.3369951248168945, 3.417365550994873, 6.251951217651367, 6.5938544273376465, 6.603739261627197, 7.65798282623291, 7.339378833770752, 7.848476409912109, 7.750052452087402, 8.820734024047852, 7.84214448928833, 8.371971130371094, 9.375059127807617, 9.70079231262207, 9.667094230651855, 9.549861907958984, 9.92910099029541, 10.197477340698242, 10.231245994567871, 10.798396110534668, 10.777359008789062, 3.6217832565307617, 3.3058314323425293, 4.280677318572998, 4.343689918518066, 4.393267631530762, 4.0753703117370605, 4.593972206115723]"
4,58_N[C@@H]1C[C@@H]2C[C@@H]2C1_N[C@@H]1C[C@@H]2C[C@@H]2C1,0.030310118570923805,,0.03,0.174,[9.789999961853027],[9.615901947021484],0.96,0.247,0.381,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9827029705047607, 4.18040657043457, 4.18040657043457, 3.494199514389038, 6.388829708099365, 7.064794540405273, 7.073705673217773, 7.818680763244629, 7.206086158752441, 8.148331642150879, 7.861248970031738, 9.033679008483887, 7.453497886657715, 8.170791625976562, 9.199831008911133, 9.751180648803711, 9.73682689666748, 9.588528633117676, 9.695392608642578, 10.46859359741211, 10.248761177062988, 10.374256134033203, 10.333150863647461, 3.705855369567871, 3.41572904586792, 4.244306564331055, 4.284304141998291, 4.294529438018799, 3.960503339767456, 4.439480781555176]"
5,59_N[C@H]1C[C@@H]2C[C@@H]2C1_N[C@H]1C[C@@H]2C[C@@H]2C1,0.03665241599082947,,0.037,0.191,[9.770000457763672],[9.961448669433594],0.988,0.076,0.227,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.994868278503418, 4.373870372772217, 4.373870372772217, 3.315095901489258, 6.347287654876709, 6.418511390686035, 6.430152416229248, 7.504866123199463, 7.468765735626221, 7.921591281890869, 7.8463640213012695, 8.708060264587402, 8.194448471069336, 8.554755210876465, 9.378275871276855, 9.778352737426758, 9.738109588623047, 9.658798217773438, 10.006481170654297, 10.27963638305664, 10.289790153503418, 10.976317405700684, 10.965185165405273, 3.654914379119873, 3.2552926540374756, 4.298166751861572, 4.327374458312988, 4.427183151245117, 4.194742202758789, 4.627512454986572]"
6,60_FC(F)(F)C12CC(CN1)C2_C1NC2CC1C2,0.31924474239349365,0.942,0.319,0.551,"[6.519999980926514, 11.229999542236328]","[6.091599464416504, 10.555490493774414]",0.984,0.096,0.238,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.305522918701172, 4.305522918701172, 3.3510780334472656, 6.124080657958984, 6.298591613769531, 6.31096076965332, 7.451212406158447, 7.322335720062256, 7.629715442657471, 7.651980876922607, 8.69279670715332, 7.845309257507324, 8.326642036437988, 9.228914260864258, 9.566787719726562, 9.521352767944336, 9.343890190124512, 9.865947723388672, 9.947492599487305, 10.237481117248535, 10.837324142456055, 10.812573432922363, 3.591259002685547, 3.1480093002319336, 4.226637363433838, 4.289584159851074, 4.3341264724731445, 4.0608344078063965, 4.62590217590332]"
7,62_C1NC2CC1C2_C1NC2CC1C2,0.335303395986557,,0.335,0.579,[11.229999542236328],[10.650945663452148],0.983,0.107,0.259,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9704079627990723, 4.299976348876953, 4.299976348876953, 3.360933303833008, 6.296365737915039, 6.46173095703125, 6.474736213684082, 7.611871719360352, 7.3863935470581055, 7.726131439208984, 7.70957088470459, 8.762569427490234, 7.815068244934082, 8.39975357055664, 9.426652908325195, 9.680830001831055, 9.641748428344727, 9.519052505493164, 9.877650260925293, 10.185766220092773, 10.242350578308105, 10.741851806640625, 10.717425346374512, 3.586552143096924, 3.256988525390625, 4.27180814743042, 4.31621789932251, 4.352675437927246, 4.099966049194336, 4.600081443786621]"
8,63_C1CCNC1_C1CCNC1,0.5241608023643494,,0.524,0.724,[11.270000457763672],[10.546010971069336],0.946,0.328,0.433,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9716100692749023, 4.143435001373291, 4.143435001373291, 3.5958356857299805, 6.5633015632629395, 7.207057952880859, 7.2161688804626465, 7.946435451507568, 7.161545753479004, 8.282880783081055, 8.006678581237793, 9.115612983703613, 7.081478118896484, 8.265169143676758, 9.195220947265625, 9.723845481872559, 9.708123207092285, 9.57922649383545, 9.654465675354004, 10.39372444152832, 10.2528715133667, 10.165593147277832, 10.115753173828125, 3.7726988792419434, 3.5177040100097656, 4.248007297515869, 4.262699604034424, 4.264902114868164, 3.989360809326172, 4.4210710525512695]"
9,64_CC12CC(CN1)C2_CC12CC(CN1)C2,0.42256274819374084,,0.423,0.65,[11.279999732971191],[10.629951477050781],0.988,0.074,0.219,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.021639823913574, 4.40073299407959, 4.40073299407959, 3.3798069953918457, 6.30350399017334, 6.212961196899414, 6.23267936706543, 7.440102577209473, 7.488984107971191, 7.908891677856445, 7.709277153015137, 8.700440406799316, 8.049673080444336, 8.557122230529785, 9.330018043518066, 9.718499183654785, 9.670228958129883, 9.582365989685059, 9.989015579223633, 10.217058181762695, 10.360740661621094, 10.726370811462402, 10.694730758666992, 3.728097915649414, 3.2426249980926514, 4.317395210266113, 4.312963962554932, 4.4174885749816895, 4.264411926269531, 4.58839225769043]"
10,66_FC(F)(F)C12CCC(CC1)CN2_C1CC2CCC1CN2,0.10190276056528091,0.978,0.102,0.266,"[6.559999942779541, 10.890000343322754]","[6.117290496826172, 10.801604270935059]",0.985,0.092,0.237,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.291787147521973, 4.291787147521973, 3.3545024394989014, 6.152900695800781, 6.289160251617432, 6.286717414855957, 7.400734901428223, 7.41026496887207, 7.867625713348389, 7.6589508056640625, 8.685750007629395, 7.934078216552734, 8.432899475097656, 9.34383487701416, 9.62382698059082, 9.594517707824707, 9.410665512084961, 9.832144737243652, 10.219133377075195, 10.225091934204102, 10.80649471282959, 10.784746170043945, 3.6512324810028076, 3.2408552169799805, 4.242772579193115, 4.277615070343018, 4.308322906494141, 4.126174449920654, 4.61439847946167]"
11,68_C1CC2CC1CN2_C1CC2CC1CN2,0.16948531568050385,,0.169,0.412,[10.420000076293945],[10.831686019897461],0.974,0.157,0.32,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.971606969833374, 4.247017860412598, 4.247017860412598, 3.3995678424835205, 6.285907745361328, 6.734189033508301, 6.74212646484375, 7.748308181762695, 7.288853645324707, 7.928050994873047, 7.806966781616211, 8.85334587097168, 7.699007034301758, 8.326301574707031, 9.450514793395996, 9.795417785644531, 9.776369094848633, 9.575363159179688, 9.814956665039062, 10.344974517822266, 10.217233657836914, 10.625011444091797, 10.595885276794434, 3.5882928371429443, 3.3252346515655518, 4.278149604797363, 4.342170715332031, 4.339677810668945, 4.008112907409668, 4.566768646240234]"
12,70_C1CC2CCC1CN2_C1CC2CCC1CN2,0.15571962296962738,,0.156,0.395,[10.890000343322754],[10.495387077331543],0.938,0.38,0.461,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.000993251800537, 4.144443511962891, 4.144443511962891, 3.649538040161133, 6.585400581359863, 7.308988094329834, 7.319641590118408, 8.02490520477295, 7.122470855712891, 8.314881324768066, 8.023942947387695, 9.106215476989746, 7.002349376678467, 8.298445701599121, 9.207283020019531, 9.623780250549316, 9.605354309082031, 9.415181159973145, 9.57967472076416, 10.42855167388916, 10.235847473144531, 10.03361701965332, 9.982295036315918, 3.757676362991333, 3.5844476222991943, 4.18602991104126, 4.259317874908447, 4.201654434204102, 3.9012303352355957, 4.402933597564697]"
13,71_C1CCNCC1_C1CCNCC1,0.23473741114139557,,0.235,0.484,[11.119999885559082],[10.635502815246582],0.975,0.15,0.321,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.003265857696533, 4.302570343017578, 4.302570343017578, 3.4341049194335938, 6.362749099731445, 6.749516010284424, 6.759641170501709, 7.817539215087891, 7.347599983215332, 7.982281684875488, 7.893978118896484, 9.015174865722656, 7.804337501525879, 8.315328598022461, 9.3851900100708, 9.830965042114258, 9.818207740783691, 9.716652870178223, 9.8673734664917, 10.42836856842041, 10.271153450012207, 10.657827377319336, 10.631190299987793, 3.6921207904815674, 3.3291049003601074, 4.3203582763671875, 4.373681545257568, 4.3919291496276855, 4.06637716293335, 4.604809284210205]"
14,72_FC(F)(F)C12CCCC(CN1)C2_C1CC2CNC(C1)C2,0.22609075903892517,0.954,0.226,0.475,"[5.960000038146973, 10.380000114440918]","[6.40856409072876, 10.88097095489502]",0.989,0.067,0.201,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.3716254234313965, 4.3716254234313965, 3.37463641166687, 6.409305572509766, 6.359312534332275, 6.366974353790283, 7.45258092880249, 7.425270080566406, 7.763836860656738, 7.7188239097595215, 8.784425735473633, 8.032604217529297, 8.527143478393555, 9.314970016479492, 9.666929244995117, 9.621737480163574, 9.506383895874023, 9.957489967346191, 10.166112899780273, 10.343744277954102, 10.956335067749023, 10.939393997192383, 3.7026498317718506, 3.324766159057617, 4.292309761047363, 4.313294410705566, 4.375044345855713, 4.185314178466797, 4.67487096786499]"
15,73_C1CC2CNC(C1)C2_C1CC2CNC(C1)C2,0.11221927404403687,,0.112,0.335,[10.380000114440918],[10.714991569519043],0.962,0.235,0.389,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.967984676361084, 4.22406005859375, 4.22406005859375, 3.4752731323242188, 6.375523567199707, 6.990918159484863, 6.998838424682617, 7.845025062561035, 7.127777099609375, 8.1657075881958, 7.89442253112793, 9.03319263458252, 7.462339401245117, 8.284171104431152, 9.332893371582031, 9.744961738586426, 9.730244636535645, 9.527453422546387, 9.719789505004883, 10.426165580749512, 10.209311485290527, 10.37351131439209, 10.333256721496582, 3.6377763748168945, 3.4204225540161133, 4.251201629638672, 4.357726097106934, 4.280756950378418, 3.9296276569366455, 4.517229080200195]"
16,75_FC1(F)CC2CNCC(C2)C1_C1CC2CNCC(C1)C2,0.6399844288825989,-0.218,0.64,0.702,"[9.40999984741211, 10.859999656677246]","[10.495760917663574, 10.5420503616333]",0.98,0.123,0.28,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.265005588531494, 4.265005588531494, 3.375063896179199, 6.257244110107422, 6.430512428283691, 6.421788692474365, 7.68137264251709, 7.367717266082764, 7.973400592803955, 7.805976390838623, 8.846038818359375, 7.825598239898682, 8.379218101501465, 9.404844284057617, 9.875800132751465, 9.859524726867676, 9.72386646270752, 9.880561828613281, 10.364607810974121, 10.264050483703613, 10.769200325012207, 10.751927375793457, 3.5805110931396484, 3.257812261581421, 4.302493095397949, 4.309457778930664, 4.3605146408081055, 4.078379154205322, 4.62309455871582]"
17,76_FC1(F)CC2CNCC(C1)C2(F)F_C1CC2CNCC(C1)C2,0.8909232020378113,0.823,0.891,0.85,"[6.369999885559082, 10.859999656677246]","[7.630189895629883, 10.419809341430664]",0.99,0.06,0.204,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.402437210083008, 4.402437210083008, 3.4306395053863525, 6.294499397277832, 6.249634742736816, 6.262368202209473, 7.583165168762207, 7.502591609954834, 7.928954601287842, 7.911581993103027, 8.716808319091797, 8.08060073852539, 8.565794944763184, 9.3504638671875, 9.691231727600098, 9.6455717086792, 9.447586059570312, 9.958372116088867, 10.135342597961426, 10.321503639221191, 11.043299674987793, 11.017068862915039, 3.7926385402679443, 3.278042793273926, 4.3255157470703125, 4.325560569763184, 4.418583869934082, 4.261548042297363, 4.630784511566162]"
18,77_FC1(F)C2CCCC1CNC2_C1CC2CNCC(C1)C2,0.11883257329463959,0.952,0.119,0.251,"[7.71999979019165, 10.859999656677246]","[7.7347917556762695, 10.37271499633789]",0.989,0.065,0.204,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.373892784118652, 4.373892784118652, 3.351715326309204, 6.279630661010742, 6.256289005279541, 6.26528787612915, 7.5074872970581055, 7.46151876449585, 7.824596881866455, 7.706846714019775, 8.740852355957031, 8.112828254699707, 8.550228118896484, 9.413466453552246, 9.69419002532959, 9.654458999633789, 9.498787879943848, 9.95241641998291, 10.199310302734375, 10.283623695373535, 10.998091697692871, 10.974507331848145, 3.6920974254608154, 3.3096375465393066, 4.348136901855469, 4.31812858581543, 4.404550552368164, 4.196916580200195, 4.620792388916016]"
19,78_C1CC2CNCC(C1)C2_C1CC2CNCC(C1)C2,0.3980822265148163,,0.398,0.631,[10.859999656677246],[10.2290620803833],0.937,0.384,0.462,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.98634672164917, 4.1331706047058105, 4.1331706047058105, 3.65470552444458, 6.506277084350586, 7.319729328155518, 7.3260369300842285, 7.950930595397949, 7.18613338470459, 8.375886917114258, 8.15390682220459, 9.09476089477539, 6.984777927398682, 8.25815200805664, 9.161925315856934, 9.59227180480957, 9.582155227661133, 9.399959564208984, 9.508652687072754, 10.332636833190918, 10.264677047729492, 10.01093864440918, 9.959542274475098, 3.782989978790283, 3.6147208213806152, 4.21458101272583, 4.253156661987305, 4.206980228424072, 3.9286818504333496, 4.283191680908203]"
20,79_FC1(F)C2CNCC1COC2_C1NCC2COCC1C2,0.22424745559692383,0.838,0.224,0.337,"[8.050000190734863, 10.399999618530273]","[7.380321979522705, 10.40510082244873]",0.975,0.155,0.314,"[4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[4.255837917327881, 4.255837917327881, 3.3835175037384033, 6.336504936218262, 6.685226917266846, 6.684556007385254, 7.774604797363281, 7.275134563446045, 7.869046688079834, 7.713002681732178, 8.863607406616211, 7.747276782989502, 8.349165916442871, 9.431989669799805, 9.797630310058594, 9.775496482849121, 9.58508586883545, 9.82065200805664, 10.35568904876709, 10.261434555053711, 10.560483932495117, 10.530685424804688, 3.6078081130981445, 3.3440024852752686, 4.279525279998779, 4.3105645179748535, 4.313636779785156, 4.018723487854004, 4.678896427154541]"
21,80_C1NCC2COCC1C2_C1NCC2COCC1C2,0.0011586874024942517,,0.001,0.034,[10.399999618530273],[10.434039115905762],0.985,0.094,0.247,"[4.349999904632568, 4.789999961853027, 4.829999923706055, 3.509999990463257, 6.230000019073486, 6.059999942779541, 6.409999847412109, 7.440000057220459, 7.539999961853027, 7.75, 7.690000057220459, 8.829999923706055, 8.550000190734863, 8.979999542236328, 9.149999618530273, 9.520000457763672, 9.550000190734863, 9.670000076293945, 9.8100004196167, 9.600000381469727, 10.5, 11.270000457763672, 10.989999771118164, 3.8499999046325684, 3.5899999141693115, 4.179999828338623, 4.239999771118164, 4.389999866485596, 4.610000133514404, 4.380000114440918]","[3.9895105361938477, 4.315855026245117, 4.315855026245117, 3.3233208656311035, 6.268474102020264, 6.372203350067139, 6.37263298034668, 7.557287693023682, 7.435204029083252, 7.87966775894165, 7.730379104614258, 8.726232528686523, 7.956512928009033, 8.526378631591797, 9.393228530883789, 9.73226261138916, 9.705071449279785, 9.570755004882812, 9.915814399719238, 10.296384811401367, 10.222180366516113, 10.80314826965332, 10.778035163879395, 3.619868278503418, 3.319218635559082, 4.313444137573242, 4.330334663391113, 4.3641676902771, 4.10152006149292, 4.610672473907471]"
