,params,cv_0_loss,cv_0_best_epoch,cv_0_run_name,cv_0_r^2,cv_0_mse,cv_0_mae,cv_1_loss,cv_1_best_epoch,cv_1_run_name,cv_1_r^2,cv_1_mse,cv_1_mae
0,"{'lr': 0.0006138191641891407, 'train_type': 'predictor_and_readout', 'weight_decay': 0.014308339460034023}",0.07205544163783391,23,abc,0.736,0.079,0.226,0.10513237615426381,14,abc,0.69,0.104,0.251
1,"{'lr': 0.010581221717241268, 'train_type': 'only_predictor', 'weight_decay': 0.007789862832841896}",0.06594101215402286,77,abc,0.769,0.069,0.2,0.09113406886657079,51,abc,0.753,0.083,0.216
2,"{'lr': 5.787362870998929e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0007196213248818781}",0.08486430098613103,199,abc,0.661,0.102,0.253,0.1323407640059789,199,abc,0.609,0.131,0.274
3,"{'lr': 0.002832830401590982, 'train_type': 'predictor_and_readout', 'weight_decay': 0.001210196427880566}",0.04675188288092613,76,abc,0.829,0.051,0.179,0.0915934294462204,16,abc,0.734,0.089,0.229
4,"{'lr': 9.967125265927035e-05, 'train_type': 'only_predictor', 'weight_decay': 0.00018166198242873204}",0.07970585177342097,199,abc,0.685,0.094,0.243,0.10652495423952739,197,abc,0.685,0.106,0.249
5,"{'lr': 0.00016820275496678952, 'train_type': 'only_predictor', 'weight_decay': 0.0021085220990661}",0.07018305982152621,199,abc,0.732,0.08,0.225,0.10554558038711548,36,abc,0.688,0.105,0.249
6,"{'lr': 0.00020902252355685177, 'train_type': 'all_layers', 'weight_decay': 0.10325124483130778}",0.0958741803963979,199,abc,0.619,0.114,0.27,0.12462990979353587,37,abc,0.631,0.124,0.267
7,"{'lr': 0.006553887966063895, 'train_type': 'predictor_and_readout', 'weight_decay': 0.000907906902080013}",0.06094802046815554,74,abc,0.787,0.064,0.2,0.08802672723929088,28,abc,0.734,0.089,0.22
8,"{'lr': 0.0012015955339073046, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06311408437434003}",0.08595222234725952,21,abc,0.691,0.092,0.245,0.11675749222437541,5,abc,0.65,0.117,0.266
9,"{'lr': 6.871203054160547e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00018268305060503847}",0.09314049159487088,199,abc,0.623,0.113,0.268,0.11314307401577632,199,abc,0.665,0.113,0.255
10,"{'lr': 0.00018377916608561682, 'train_type': 'all_layers', 'weight_decay': 0.007111616065453192}",0.07309827581048012,199,abc,0.72,0.084,0.229,0.10614859312772751,28,abc,0.686,0.106,0.251
11,"{'lr': 0.0006224937639856428, 'train_type': 'all_layers', 'weight_decay': 0.18157246504786517}",0.10365667442480724,10,abc,0.593,0.122,0.278,0.1419898122549057,12,abc,0.577,0.142,0.285
12,"{'lr': 0.023280327857568645, 'train_type': 'predictor_and_readout', 'weight_decay': 0.016144656445921737}",0.14225460588932037,85,abc,0.519,0.144,0.312,0.13455904771884283,88,abc,0.589,0.138,0.284
13,"{'lr': 0.0003859296172615008, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0011419539260429355}",0.0637769674261411,199,abc,0.76,0.072,0.213,0.10244136800368626,13,abc,0.694,0.103,0.248
14,"{'lr': 0.00014414351152238403, 'train_type': 'predictor_and_readout', 'weight_decay': 0.01871124268893792}",0.08203684538602829,199,abc,0.678,0.096,0.245,0.10951107243696849,191,abc,0.678,0.108,0.251
15,"{'lr': 0.0478413933683643, 'train_type': 'all_layers', 'weight_decay': 0.00017289425587443914}",0.1481260284781456,57,abc,0.569,0.129,0.294,0.16141595939795175,42,abc,0.527,0.159,0.301
16,"{'lr': 0.03219337583465089, 'train_type': 'only_predictor', 'weight_decay': 0.0016897417318396852}",0.12205870697895686,93,abc,0.645,0.106,0.25,0.15224564572175345,43,abc,0.554,0.15,0.293
17,"{'lr': 0.0020363247384740414, 'train_type': 'all_layers', 'weight_decay': 0.10027701579869383}",0.10245731597145398,0,abc,0.59,0.123,0.283,0.12669371316830316,2,abc,0.613,0.13,0.28
18,"{'lr': 0.001155230039512934, 'train_type': 'all_layers', 'weight_decay': 0.00019679894102795804}",0.04693403591712316,45,abc,0.827,0.052,0.182,0.09878131002187729,27,abc,0.716,0.095,0.235
19,"{'lr': 5.762348731668535e-05, 'train_type': 'all_layers', 'weight_decay': 0.0002611025319088945}",0.09020655229687691,199,abc,0.637,0.109,0.262,0.13186915963888168,199,abc,0.61,0.131,0.273
20,"{'lr': 0.00010490034228367366, 'train_type': 'predictor_and_readout', 'weight_decay': 0.021960409523997606}",0.078267735739549,8,abc,0.712,0.086,0.23,0.11220285048087437,67,abc,0.663,0.113,0.225
21,"{'lr': 0.005675955830950003, 'train_type': 'all_layers', 'weight_decay': 0.003812189965121754}",0.27023179829120636,23,abc,0.003,0.299,0.455,0.33368205030759174,38,abc,-0.005,0.338,0.471
22,"{'lr': 0.0009124696539253328, 'train_type': 'only_predictor', 'weight_decay': 0.03233101915473738}",0.12954712907473245,93,abc,0.604,0.119,0.277,0.25433120131492615,183,abc,0.274,0.244,0.39
23,"{'lr': 0.0002398463525086739, 'train_type': 'only_predictor', 'weight_decay': 0.0005580981602306142}",0.11384445428848267,71,abc,0.61,0.117,0.266,0.12108166019121806,178,abc,0.612,0.13,0.234
24,"{'lr': 0.002511060695563838, 'train_type': 'predictor_and_readout', 'weight_decay': 0.007800533176500795}",0.2704376180966695,35,abc,-0.004,0.301,0.458,0.33425311247507733,9,abc,-0.002,0.337,0.47
25,"{'lr': 0.00013996494796502423, 'train_type': 'only_predictor', 'weight_decay': 0.0019176362643883499}",0.0895643283923467,6,abc,0.694,0.092,0.243,0.12854685386021933,46,abc,0.593,0.137,0.256
26,"{'lr': 0.04450635555553573, 'train_type': 'predictor_and_readout', 'weight_decay': 0.001759778177914541}",0.27036260068416595,38,abc,-0.004,0.301,0.458,0.3332504133383433,28,abc,-0.022,0.343,0.471
27,"{'lr': 9.581030455152054e-05, 'train_type': 'all_layers', 'weight_decay': 0.032912421410235454}",0.10405278454224269,37,abc,0.633,0.11,0.265,0.11335186163584392,28,abc,0.682,0.107,0.224
28,"{'lr': 0.047845997710988845, 'train_type': 'predictor_and_readout', 'weight_decay': 0.07702475079786528}",0.25476475556691486,98,abc,0.048,0.285,0.446,0.32513261834780377,51,abc,-0.01,0.339,0.466
29,"{'lr': 0.009928612978775871, 'train_type': 'predictor_and_readout', 'weight_decay': 0.06986987100381578}",0.24633300304412842,149,abc,0.077,0.277,0.438,0.3264262179533641,41,abc,0.022,0.329,0.464
30,"{'lr': 5.252373383152012e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 8.647067680666456e-05}",0.09786081562439601,43,abc,0.632,0.11,0.252,0.09172120317816734,62,abc,0.72,0.094,0.22
31,"{'lr': 0.004097913035065897, 'train_type': 'only_predictor', 'weight_decay': 0.06365307727218689}",0.25629038115342456,190,abc,0.042,0.287,0.447,0.3316814700762431,13,abc,0.005,0.334,0.469
32,"{'lr': 0.0004938558028855366, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0815621504641816}",0.1055760607123375,191,abc,0.669,0.099,0.245,0.11940215155482292,186,abc,0.639,0.121,0.217
33,"{'lr': 0.010696238600621123, 'train_type': 'all_layers', 'weight_decay': 0.00891294157770226}",0.26594457030296326,43,abc,0.019,0.294,0.451,0.33282442887624103,21,abc,0.0,0.336,0.47
34,"{'lr': 0.001231865323212387, 'train_type': 'all_layers', 'weight_decay': 0.01325687608142225}",0.2657040258248647,199,abc,0.019,0.294,0.452,0.33310486376285553,19,abc,-0.016,0.341,0.471
35,"{'lr': 0.0012619458812042576, 'train_type': 'all_layers', 'weight_decay': 0.02254093742868383}",0.2667840321858724,199,abc,0.013,0.296,0.454,0.33188045024871826,148,abc,0.024,0.328,0.465
36,"{'lr': 0.0004981036749143164, 'train_type': 'predictor_and_readout', 'weight_decay': 0.007862942992466017}",0.11725231260061264,65,abc,0.64,0.108,0.266,0.11605232705672582,69,abc,0.653,0.117,0.213
37,"{'lr': 0.012108397507156804, 'train_type': 'predictor_and_readout', 'weight_decay': 0.005318585447786359}",0.26770953834056854,57,abc,0.006,0.298,0.456,0.3324371675650279,21,abc,-0.021,0.343,0.471
38,"{'lr': 0.00030145907522503016, 'train_type': 'all_layers', 'weight_decay': 5.0052557599531165e-05}",0.08915690332651138,55,abc,0.683,0.095,0.232,0.11403797566890717,198,abc,0.637,0.122,0.224
39,"{'lr': 0.002121466986852357, 'train_type': 'predictor_and_readout', 'weight_decay': 0.03401729922292916}",0.25356221199035645,199,abc,0.05,0.285,0.446,0.3161199490229289,135,abc,0.091,0.305,0.449
40,"{'lr': 6.0120001032067485e-05, 'train_type': 'only_predictor', 'weight_decay': 0.005708420443644741}",0.06627179185549419,184,abc,0.79,0.063,0.204,0.1177781621615092,199,abc,0.669,0.111,0.242
41,"{'lr': 0.006071382436890444, 'train_type': 'all_layers', 'weight_decay': 0.000903557032796994}",0.06470606351892154,76,abc,0.802,0.059,0.187,0.08962198843558629,63,abc,0.735,0.089,0.213
42,"{'lr': 0.0029101672237425774, 'train_type': 'predictor_and_readout', 'weight_decay': 0.00018636023749210836}",0.05436447635293007,20,abc,0.811,0.057,0.192,0.06496805449326833,31,abc,0.804,0.066,0.185
43,"{'lr': 0.004788187959017534, 'train_type': 'all_layers', 'weight_decay': 0.17859658822642616}",0.0787325029571851,10,abc,0.749,0.075,0.226,0.0958973690867424,94,abc,0.72,0.094,0.231
44,"{'lr': 0.03951932832003778, 'train_type': 'all_layers', 'weight_decay': 0.00023182424477612138}",0.18041332066059113,93,abc,0.405,0.178,0.359,0.2495561589797338,21,abc,0.248,0.253,0.388
45,"{'lr': 5.0139502932032014e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.10035760224408338}",0.06846503168344498,195,abc,0.764,0.071,0.221,0.1373129685719808,199,abc,0.619,0.128,0.263
46,"{'lr': 0.0024334441066280873, 'train_type': 'predictor_and_readout', 'weight_decay': 0.011618870549123961}",0.05869085341691971,18,abc,0.796,0.061,0.191,0.0659201629459858,47,abc,0.791,0.07,0.191
47,"{'lr': 0.0034271715480348112, 'train_type': 'predictor_and_readout', 'weight_decay': 0.000400191015455135}",0.05617590745290121,23,abc,0.808,0.057,0.198,0.07791888589660327,24,abc,0.773,0.076,0.199
48,"{'lr': 0.000138518682700855, 'train_type': 'all_layers', 'weight_decay': 0.021316905115233042}",0.058515933652718864,179,abc,0.819,0.054,0.186,0.09868319829305013,199,abc,0.708,0.098,0.226
49,"{'lr': 9.081159296880773e-05, 'train_type': 'all_layers', 'weight_decay': 0.0382406062940233}",0.06541772435108821,199,abc,0.795,0.061,0.199,0.10687533517678578,199,abc,0.692,0.104,0.23
50,"{'lr': 5.584876562286769e-05, 'train_type': 'only_predictor', 'weight_decay': 0.0017117873946039838}",0.06833500166734059,199,abc,0.78,0.066,0.211,0.11318331708510716,199,abc,0.677,0.108,0.238
51,"{'lr': 5.453203655914117e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.005226114154256526}",0.0654769962032636,199,abc,0.787,0.064,0.206,0.11247178167104721,187,abc,0.674,0.109,0.241
52,"{'lr': 0.00016600585608847837, 'train_type': 'all_layers', 'weight_decay': 0.09350160460170137}",0.0607467790444692,64,abc,0.804,0.059,0.196,0.0847896138827006,178,abc,0.756,0.082,0.201
53,"{'lr': 0.0003142886170223183, 'train_type': 'all_layers', 'weight_decay': 0.009127038023568663}",0.05582218120495478,60,abc,0.82,0.054,0.18,0.07911402483781178,69,abc,0.766,0.079,0.203
54,"{'lr': 4.6101032222646146e-05, 'train_type': 'predictor_and_readout', 'weight_decay': 0.0002660545033996264}",0.0741872601211071,199,abc,0.744,0.077,0.228,0.11727522313594818,197,abc,0.666,0.112,0.244
55,"{'lr': 0.0013953117298715289, 'train_type': 'all_layers', 'weight_decay': 0.13783057337319488}",0.059802756955226265,7,abc,0.777,0.067,0.205,0.07755063722531001,13,abc,0.768,0.078,0.205
56,"{'lr': 0.04436179889073275, 'train_type': 'predictor_and_readout', 'weight_decay': 0.000491778652765722}",0.1534212107459704,74,abc,0.438,0.168,0.332,0.3331014762322108,26,abc,-0.016,0.341,0.471
